Ward,Suburb,Property_code,Park_Name,Node_ID,Node_Name,Item_ID,Item_Type,Item_Description,Latitude,Longitude,Easting,Northing,Equipment_ID
BRACKEN RIDGE,CARSELDINE,D2158,MACARANGA CRESCENT PARK,B-RE-0217-N005,WATERLILLY CIRCLE PICNIC AREA,53174,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.3391,153.012,501154,6976010,100125383
PADDINGTON,KELVIN GROVE,D2996,GREY GUMS PARK,B-RE-0218-N002,GREY GUMS PK PICNIC AREA,174847,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4516,153.014,501335,6963550,200557390
DOBOY,WAKERLEY,D2995,ARENGA STREET PARK,B-RE-0219-N002,ARENGA ST PLAYGROUND,163202,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4765,153.152,515039,6960780,200549798
DOBOY,MURARRIE,D2993,MINGOOLA PARK,B-RE-0221-N001,MINGOOLA PK PICNIC AREA,162206,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4588,153.102,510034,6962750,200549123
CALAMVALE,DREWVALE,D2912,LAPFORD PARK,B-RE-0225-N002,BALANCE OF PARK,175177,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.6518,153.05,504912,6941370,200557517
MORNINGSIDE,BULIMBA,D2672,BULIMBA RIVERSIDE PARK,B-RE-0233-N001,BULIMBA RIVERSIDE PK DOG OFF LEASH AREA,92376,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.454,153.055,505407,6963270,200510376
MORNINGSIDE,BULIMBA,D2672,BULIMBA RIVERSIDE PARK,B-RE-0233-N001,BULIMBA RIVERSIDE PK DOG OFF LEASH AREA,92377,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4538,153.054,505379,6963300,200510377
MORNINGSIDE,BULIMBA,D2672,BULIMBA RIVERSIDE PARK,B-RE-0233-N003,BRISBANE RIVER SHARED PATH & FISHING FACILITY,89894,BUBBLER/DRINKING FOUNTAIN,ACCESSIBLE DRINKING FOUNTAIN,-27.4505,153.053,505190,6963660,100251508
MORNINGSIDE,BULIMBA,D2672,BULIMBA RIVERSIDE PARK,B-RE-0233-N006,BULIMBA RIVERSIDE PK PICNIC AREA,92401,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4536,153.054,505313,6963320,200510388
MORNINGSIDE,BULIMBA,D2672,BULIMBA RIVERSIDE PARK,B-RE-0233-N006,BULIMBA RIVERSIDE PK PICNIC AREA,97468,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4541,153.054,505315,6963270,200512063
PULLENVALE,MOGGILL,D2613,WESTAWAY PARK (MOGGILL),B-RE-0241-N001,BALANCE OF PARK,135769,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,-27.5699,152.873,487502,6950440,200535863
PULLENVALE,MOGGILL,D2613,WESTAWAY PARK (MOGGILL),B-RE-0241-N004,WESTAWAY PK (MOGGILL) PICNIC AREA,135806,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,-27.5708,152.873,487442,6950330,200535893
CALAMVALE,FOREST LAKE,D2612,EUNGELLA TERRACE PARK,B-RE-0242-N003,SANCTUARY DRIVE PICNIC AREA,187118,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.6338,152.979,497920,6943370,200565319
THE GABBA,WOOLLOONGABBA,D3533,CARL STREET PARK,B-RE-0259-N001,BALANCE OF PARK,182075,BUBBLER/DRINKING FOUNTAIN,"BUBBLER, TAP & DOG BOWL",-27.4998,153.038,503708,6958200,200561117
TENNYSON,TENNYSON,D3398,KEN FLETCHER PARK,B-RE-0265-N002,KEN FLETCHER PK PICNIC AREA,193382,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.5244,153.006,500635,6955480,100101217
TENNYSON,TENNYSON,D3398,KEN FLETCHER PARK,B-RE-0265-N003,KEN FLETCHER PK POWER STN DISTRICT PLAYGROUND,193696,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.5245,153.006,500572,6955470,100101755
TENNYSON,TENNYSON,D3398,KEN FLETCHER PARK,B-RE-0265-N007,BRISBANE RIVER SHARED PATH & BOAT PONTOON,193581,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.5243,153.008,500750,6955490,100101519
TENNYSON,TENNYSON,D3398,KEN FLETCHER PARK,B-RE-0265-N007,BRISBANE RIVER SHARED PATH & BOAT PONTOON,193608,BUBBLER/DRINKING FOUNTAIN,BUBBLER & DOG BOWL,-27.5239,153.007,500719,6955530,100101546
CHANDLER,ROCHEDALE,D3316,STRAWBERRY FIELDS PLACE,B-RE-0269-N002,STRAWBERRYFIELDS PLACE PICNIC AREA,53344,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.5716,153.113,511196,6950250,100125879
TENNYSON,OXLEY,D2176,FORT ROAD BUSHLANDS,B-RE-0283-N004,FORT RD PICNIC AREA,148247,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.5467,152.965,496574,6953010,200541704
WALTER TAYLOR,TARINGA,D2138,WHITMORE STREET PARK,B-RE-0287-N001,WHITMORE ST PICNIC AREA,87775,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4911,152.987,498754,6959170,200508413
MCDOWALL,MCDOWALL,D2127,MALAGA STREET PARK,B-RE-0296-N001,BALANCE OF PARK,148415,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.3897,152.987,498718,6970400,200541841
CALAMVALE,STRETTON,D2125,HAWTHORN AVENUE PARK,B-RE-0298-N001,BALANCE OF PARK,132180,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.6276,153.061,506068,6944050,200533578
CALAMVALE,CALAMVALE,D2072,CALAMVALE DISTRICT PARK,B-RE-0312-N006,BALANCE OF PARK,142040,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.6221,153.038,503739,6944660,200538555
CALAMVALE,CALAMVALE,D2072,CALAMVALE DISTRICT PARK,B-RE-0312-N006,BALANCE OF PARK,142045,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.622,153.037,503683,6944670,200538560
CALAMVALE,CALAMVALE,D2072,CALAMVALE DISTRICT PARK,B-RE-0312-N008,FORMSKIRK ST CAR PARK PICNIC AREA,129615,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.6209,153.039,503862,6944790,100104930
PADDINGTON,MILTON,D2112,BEDGOOD PARK,B-RE-0321-N002,BEDGOOD PK PLAYGROUND,172951,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4625,153.005,500520,6962340,200556300
MCDOWALL,MCDOWALL,D2554,MCLEOD COURT PARK,B-RE-0330-N001,MCLEOD COURT PICNIC AREA,167009,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.3892,152.996,499589,6970450,200552174
PADDINGTON,KELVIN GROVE,D2472,MAIDSTONE STREET PARK,B-RE-0343-N002,MAIDSTONE ST PICNIC AREA,111619,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4547,153.016,501571,6963200,200519788
MORNINGSIDE,HAWTHORNE,D2312,BARTON ROAD POCKET PARK (ROAD RESERVE),B-RE-0350-N001,BALANCE OF PARK,48825,BUBBLER/DRINKING FOUNTAIN,APOLLO 400 DRINKING FOUNTAIN,-27.4583,153.053,505282,6962800,200488765
